,county_fips,state_officer_id,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
0,28001,msA015,,,1.0,1.0,,,,,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
1,28001,msD025,,,1.0,1.0,,,,,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
2,28001,msH001,,,1.0,2.0,,,,,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
3,28001,msM002,,,1.0,2.0,,,,,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
4,28001,msM003,,,0.7398373983739838,91.0,,,0.2601626016260163,32.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
5,28001,msM004,,,0.6666666666666666,2.0,,,0.3333333333333333,1.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
6,28001,msM005,,,,,,,1.0,1.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
7,28001,msM009,,,0.6666666666666666,2.0,,,0.3333333333333333,1.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
8,28001,msM010,0.0072992700729927005,1.0,0.5912408759124088,81.0,0.029197080291970802,4.0,0.3722627737226277,51.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
9,28001,msM014,,,0.7727272727272727,34.0,,,0.22727272727272727,10.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
10,28001,msM015,,,0.3484848484848485,23.0,,,0.6515151515151515,43.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
11,28001,msM016,,,,,,,1.0,1.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
12,28001,msM018,,,0.5909090909090909,13.0,,,0.4090909090909091,9.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
13,28001,msM024,,,0.5102040816326531,25.0,,,0.4897959183673469,24.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
14,28001,msM029,,,0.6923076923076923,9.0,,,0.3076923076923077,4.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
15,28001,msM031,,,0.6210191082802548,195.0,0.01910828025477707,6.0,0.35987261146496813,113.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
16,28001,msM041,,,1.0,2.0,,,,,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
17,28001,msM042,,,0.5342465753424658,39.0,,,0.4657534246575342,34.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
18,28001,msM045,,,0.36363636363636365,4.0,,,0.6363636363636364,7.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
19,28001,msM046,,,0.6410256410256411,25.0,,,0.358974358974359,14.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
20,28001,msM049,,,0.7241379310344828,21.0,,,0.27586206896551724,8.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
21,28001,msR019,,,0.8333333333333334,5.0,,,0.16666666666666666,1.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
22,28001,msR039,,,0.5,1.0,,,0.5,1.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
23,28001,msU049,,,0.5555555555555556,5.0,,,0.4444444444444444,4.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297
24,28003,msA007,,,,,,,1.0,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
25,28003,msA008,,,0.3333333333333333,2.0,,,0.6666666666666666,4.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
26,28003,msA009,,,,,,,1.0,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
27,28003,msA011,,,,,,,1.0,2.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
28,28003,msA012,,,1.0,1.0,,,,,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
29,28003,msA014,,,,,,,1.0,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
30,28003,msA020,,,,,,,1.0,3.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
31,28003,msA031,,,,,,,1.0,11.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
32,28003,msA033,,,,,,,1.0,4.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
33,28003,msB014,,,,,,,1.0,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
34,28003,msB064,,,0.5,2.0,,,0.5,2.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
35,28003,msB084,,,,,,,1.0,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
36,28003,msB101,,,0.13114754098360656,8.0,0.01639344262295082,1.0,0.8524590163934426,52.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
37,28003,msE017,,,,,,,1.0,2.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
38,28003,msE034,,,,,,,1.0,2.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
39,28003,msF000,,,,,,,1.0,2.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
40,28003,msF001,,,,,,,1.0,8.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
41,28003,msF002,,,0.24489795918367346,12.0,,,0.7551020408163265,37.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
42,28003,msF003,,,1.0,1.0,,,,,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
43,28003,msF004,,,0.1792452830188679,19.0,0.009433962264150943,1.0,0.8113207547169812,86.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
44,28003,msF005,,,0.125,23.0,0.021739130434782608,4.0,0.8532608695652174,157.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
45,28003,msF008,,,,,,,1.0,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
46,28003,msF011,,,0.17647058823529413,3.0,0.058823529411764705,1.0,0.7647058823529411,13.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
47,28003,msF012,,,0.14925373134328357,20.0,0.05970149253731343,8.0,0.7910447761194029,106.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
48,28003,msF014,,,,,,,1.0,2.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
49,28003,msF015,,,0.5,1.0,,,0.5,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
50,28003,msF016,,,0.5,1.0,,,0.5,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
51,28003,msF017,,,0.13333333333333333,14.0,,,0.8666666666666667,91.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
52,28003,msF018,,,0.08070175438596491,23.0,0.028070175438596492,8.0,0.8912280701754386,254.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
53,28003,msF019,,,0.2,1.0,,,0.8,4.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
54,28003,msF025,,,0.16666666666666666,7.0,,,0.8333333333333334,35.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
55,28003,msF026,,,,,,,1.0,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
56,28003,msF027,,,,,,,1.0,1.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
57,28003,msF028,0.0030211480362537764,1.0,0.13595166163141995,45.0,0.01812688821752266,6.0,0.8429003021148036,279.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
58,28003,msF029,,,0.1357142857142857,19.0,,,0.8642857142857143,121.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
59,28003,msF030,,,0.4,2.0,,,0.6,3.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
60,28003,msF031,0.002109704641350211,1.0,0.16033755274261605,76.0,0.03164556962025317,15.0,0.8059071729957806,382.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
61,28003,msF032,,,,,,,1.0,2.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674
