,county_fips,state_officer_id,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
1377,50023,vt-834749132.0,,,,,0.03125,1.0,,,0.96875,31.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1378,50023,vt-856817985.0,,,,,,,,,1.0,4.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1379,50023,vt-878029382.0,0.003861003861003861,1.0,0.011583011583011582,3.0,0.011583011583011582,3.0,,,0.972972972972973,252.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1380,50023,vt-963388848.0,0.018072289156626505,6.0,0.02710843373493976,9.0,0.018072289156626505,6.0,,,0.9367469879518072,311.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1381,50023,vt-964651717.0,0.01287001287001287,10.0,0.029601029601029602,23.0,0.009009009009009009,7.0,,,0.9485199485199485,737.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1382,50023,vt-969768585.0,,,,,,,,,1.0,6.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1383,50023,vt1030755862.0,0.0625,1.0,,,,,,,0.9375,15.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1384,50023,vt106061981.0,0.006024096385542169,1.0,0.018072289156626505,3.0,,,,,0.9759036144578314,162.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1385,50023,vt1164195567.0,0.022939677145284623,27.0,0.03058623619371283,36.0,0.010195412064570943,12.0,0.0016992353440951572,2.0,0.9345794392523364,1100.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1386,50023,vt1212138569.0,,,,,,,,,1.0,2.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
1387,50023,vt1220582222.0,,,,,,,,,1.0,1.0,58963,55693,440,450,1118,147,0.9445414921221783,0.007462306870410257,0.01896104336617879,0.007631904753828672,0.0024930888862506996
