,county_fips,state_officer_id,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
0,12001,fl0180,,,,,,,,,1.0,1.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
1,12001,fl0351,0.024793388429752067,3.0,0.19834710743801653,24.0,0.12396694214876033,15.0,0.03305785123966942,4.0,0.6198347107438017,75.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
2,12001,fl0610,,,0.014705882352941176,2.0,0.9779411764705882,133.0,,,0.007352941176470588,1.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
3,12001,fl0746,,,0.2033898305084746,36.0,0.03389830508474576,6.0,0.005649717514124294,1.0,0.7570621468926554,134.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
4,12001,fl0753,,,0.4,2.0,,,,,0.6,3.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
5,12001,fl0965,0.021505376344086023,4.0,0.1774193548387097,33.0,0.08064516129032258,15.0,0.010752688172043012,2.0,0.7096774193548387,132.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
6,12001,fl1050,,,0.1691542288557214,34.0,0.10945273631840796,22.0,0.05970149253731343,12.0,0.6616915422885572,133.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
7,12001,fl1080,0.03225806451612903,1.0,0.45161290322580644,14.0,,,0.06451612903225806,2.0,0.45161290322580644,14.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
8,12001,fl1091,0.007194244604316547,3.0,0.1366906474820144,57.0,0.08872901678657075,37.0,0.007194244604316547,3.0,0.7601918465227818,317.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
9,12001,fl1097,,,0.2222222222222222,2.0,0.3333333333333333,3.0,,,0.4444444444444444,4.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
10,12001,fl1125,,,,,0.5,1.0,,,0.5,1.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
11,12001,fl1168,0.01195219123505976,6.0,0.1952191235059761,98.0,0.08366533864541832,42.0,0.01195219123505976,6.0,0.6972111553784861,350.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
12,12001,fl1171,,,0.18181818181818182,2.0,0.18181818181818182,2.0,,,0.6363636363636364,7.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
13,12001,fl1195,,,0.16666666666666666,1.0,0.3333333333333333,2.0,,,0.5,3.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
14,12001,fl1207,,,,,,,,,1.0,1.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
15,12001,fl1215,,,1.0,1.0,,,,,,,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
16,12001,fl1228,,,0.06666666666666667,1.0,0.26666666666666666,4.0,,,0.6666666666666666,10.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
17,12001,fl1236,0.014814814814814815,8.0,0.17777777777777778,96.0,0.05740740740740741,31.0,0.020370370370370372,11.0,0.7296296296296296,394.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
18,12001,fl1248,0.006033182503770739,4.0,0.3031674208144796,201.0,0.05429864253393665,36.0,0.02262443438914027,15.0,0.6138763197586727,407.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
19,12001,fl1265,0.0044444444444444444,2.0,0.19333333333333333,87.0,0.09333333333333334,42.0,0.017777777777777778,8.0,0.6911111111111111,311.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
20,12001,fl1267,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,,,,,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
21,12001,fl1276,,,,,,,,,1.0,1.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
22,12001,fl1283,0.0136986301369863,1.0,0.1917808219178082,14.0,0.0684931506849315,5.0,0.0273972602739726,2.0,0.6986301369863014,51.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
23,12001,fl1285,,,,,1.0,1.0,,,,,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
24,12001,fl1329,,,1.0,1.0,,,,,,,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
25,12001,fl1348,,,0.16666666666666666,1.0,,,,,0.8333333333333334,5.0,256581,160261,50045,14865,25007,1924,0.624601977543154,0.1950456191222265,0.09746239978798119,0.057934921136015526,0.0074986066778132444
