,county_fips,state_officer_id,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
0,53001,wa1006,0.04,1.0,0.04,1.0,0.32,8.0,,,0.6,15.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
1,53001,wa1012,,,,,1.0,1.0,,,,,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
2,53001,wa1015,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
3,53001,wa1024,0.027210884353741496,4.0,0.013605442176870748,2.0,0.42857142857142855,63.0,,,0.5306122448979592,78.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
4,53001,wa1030,0.035891968727789623,101.0,0.032693674484719264,92.0,0.07356076759061833,207.0,0.007107320540156361,20.0,0.8507462686567164,2394.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
5,53001,wa1031,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
6,53001,wa1045,0.027649769585253458,42.0,0.03818301514154049,58.0,0.05595786701777485,85.0,0.007899934167215274,12.0,0.8703094140882159,1322.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
7,53001,wa1056,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
8,53001,wa1065,,,,,0.8,4.0,,,0.2,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
9,53001,wa1078,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
10,53001,wa1079,,,,,,,,,1.0,2.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
11,53001,wa1096,,,,,,,0.16666666666666666,1.0,0.8333333333333334,5.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
12,53001,wa1117,,,,,0.5,3.0,,,0.5,3.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
13,53001,wa1120,0.041617122473246136,70.0,0.034482758620689655,58.0,0.08204518430439953,138.0,0.015457788347205707,26.0,0.8263971462544589,1390.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
14,53001,wa1121,0.011764705882352941,2.0,0.0058823529411764705,1.0,0.5411764705882353,92.0,0.0058823529411764705,1.0,0.43529411764705883,74.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
15,53001,wa1122,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
16,53001,wa1151,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.8260869565217391,19.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
17,53001,wa1153,,,,,,,,,1.0,4.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
18,53001,wa1154,,,0.03571428571428571,1.0,0.5,14.0,,,0.4642857142857143,13.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
19,53001,wa1164,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
20,53001,wa1170,0.055970149253731345,135.0,0.03897180762852405,94.0,0.08084577114427861,195.0,0.008291873963515755,20.0,0.8159203980099502,1968.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
21,53001,wa1176,,,1.0,1.0,,,,,,,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
22,53001,wa1178,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
23,53001,wa1181,0.05065055762081784,109.0,0.04368029739776952,94.0,0.09154275092936803,197.0,0.02509293680297398,54.0,0.7890334572490706,1698.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
24,53001,wa1183,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
25,53001,wa1188,,,0.14285714285714285,2.0,0.35714285714285715,5.0,,,0.5,7.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
26,53001,wa1189,0.025,4.0,0.0375,6.0,0.5,80.0,,,0.4375,70.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
27,53001,wa1193,,,,,,,,,1.0,1.0,19100,6813,59,140,11990,79,0.3567015706806283,0.0030890052356020944,0.6277486910994764,0.007329842931937173,0.004136125654450261
