,county_fips,state_officer_id,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
0,45001,sc100,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
1,45001,sc109,,,,,,,1.0,2.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
2,45001,sc116,0.21052631578947367,4.0,0.10526315789473684,2.0,,,0.6842105263157895,13.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
3,45001,sc118,0.4090909090909091,18.0,0.022727272727272728,1.0,,,0.5681818181818182,25.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
4,45001,sc126,,,,,,,1.0,2.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
5,45001,sc129,0.19090909090909092,21.0,0.00909090909090909,1.0,,,0.8,88.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
6,45001,sc13,1.0,1.0,,,,,,,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
7,45001,sc14,,,,,,,1.0,2.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
8,45001,sc17,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
9,45001,sc18,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
10,45001,sc28,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
11,45001,sc3,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
12,45001,sc39,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
13,45001,sc42,0.32231404958677684,78.0,0.024793388429752067,6.0,0.004132231404958678,1.0,0.6487603305785123,157.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
14,45001,sc58,1.0,1.0,,,,,,,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
15,45001,sc63,0.2857142857142857,118.0,0.0387409200968523,16.0,0.01694915254237288,7.0,0.6585956416464891,272.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
16,45001,sc659,0.3333333333333333,2.0,,,,,0.6666666666666666,4.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
17,45001,sc7,0.45454545454545453,10.0,,,,,0.5454545454545454,12.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
18,45001,sc708,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
19,45001,sc732,0.5,1.0,,,,,0.5,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
20,45001,sc8,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
21,45001,sc81,0.25042444821731746,295.0,0.05178268251273345,61.0,0.02037351443123939,24.0,0.6774193548387096,798.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
22,45001,sc86,0.3888888888888889,7.0,,,,,0.6111111111111112,11.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
23,45001,sc913,1.0,1.0,,,,,,,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
24,45001,sc94,1.0,1.0,,,,,,,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
25,45001,scA101,,,,,,,1.0,1.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
26,45001,scA104,0.3117206982543641,125.0,0.007481296758104738,3.0,0.012468827930174564,5.0,0.6683291770573566,268.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
27,45001,scA127,0.5454545454545454,24.0,0.022727272727272728,1.0,,,0.4318181818181818,19.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708
