,county_fips,state_officer_id,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
0,56001,wy10,,,,,1.0,2.0,,,,,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
1,56001,wy106,,,,,,,,,1.0,1.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
2,56001,wy107,,,,,,,,,1.0,1.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
3,56001,wy110,,,,,0.1,1.0,,,0.9,9.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
4,56001,wy121,,,,,,,,,1.0,1.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
5,56001,wy125,,,,,,,0.16666666666666666,1.0,0.8333333333333334,5.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
6,56001,wy128,,,0.1111111111111111,1.0,0.1111111111111111,1.0,,,0.7777777777777778,7.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
7,56001,wy135,,,,,,,,,1.0,13.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
8,56001,wy15,,,,,0.4,2.0,,,0.6,3.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
9,56001,wy162,,,,,,,,,1.0,2.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
10,56001,wy165,0.14285714285714285,1.0,,,,,,,0.8571428571428571,6.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
11,56001,wy167,,,,,,,,,1.0,15.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
12,56001,wy17,,,,,,,,,1.0,5.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
13,56001,wy170,,,,,,,0.06666666666666667,1.0,0.9333333333333333,14.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
14,56001,wy171,0.020218579234972677,37.0,0.02459016393442623,45.0,0.05191256830601093,95.0,0.000546448087431694,1.0,0.9027322404371585,1652.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
15,56001,wy174,,,,,,,,,1.0,3.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
16,56001,wy175,,,0.014705882352941176,1.0,0.11764705882352941,8.0,,,0.8676470588235294,59.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
17,56001,wy181,,,0.04,1.0,,,,,0.96,24.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409
