county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
34001,0.047747976755596805,8077.0,0.18223091883967155,30826.0,0.10422147210612501,17630.0,0.0014365183052630957,243.0,0.6643631139933436,112383.0,274026,155570,39702,22446,54382,918,0.5677198514009619,0.14488406209629742,0.1984556209994672,0.0819119353637976,0.0033500470758249215,0.09664326259238165,0.037346856743374124,-0.0942341488933422,-0.03416395860820079,-0.0019135287705618258
34003,0.10200605369900616,16648.0,0.14778868423955002,24120.0,0.22121122997928996,36103.0,0.002034238937293972,332.0,0.5269597931448599,86003.0,930310,546048,49047,146592,179012,3335,0.5869527361847127,0.052721135965430876,0.19242188087841688,0.15757328202427148,0.0035848265631886144,-0.05999294303985281,0.09506754827411915,0.02878934910087308,-0.055567228325265325,-0.0015505876258946425
34005,0.06721198404545906,31865.0,0.22933914367734873,108729.0,0.09380991653606752,44475.0,0.0018013191393322463,854.0,0.6078376366017925,288174.0,450236,309122,70210,21382,37191,2197,0.6865777059142316,0.1559404401247346,0.08260334580086888,0.04749064934834176,0.004879663110013415,-0.07874006931243915,0.07339870355261413,0.011206570735198637,0.019721334697117295,-0.003078343970681169
34007,0.047623523287592,6587.0,0.2742817068409561,37937.0,0.09454574374249895,13077.0,0.0015544341136833582,215.0,0.5819945920152696,80498.0,511145,296745,93169,28735,85105,2210,0.580549550518933,0.18227508828219,0.16649874301812598,0.05621692474738088,0.00432362636825167,0.0014450414963366187,0.0920066185587661,-0.07195299927562702,-0.008593401459788881,-0.002769192254568312
34009,0.013060427086819279,1444.0,0.0908712679648707,10047.0,0.05420439025713846,5993.0,0.0005969447283449255,66.0,0.8412669699628266,93013.0,95404,81874,4315,1010,7212,142,0.8581820468743449,0.04522871158441994,0.07559431470378601,0.010586558215588446,0.0014884071946668902,-0.01691507691151828,0.04564255638045076,-0.02138992444664755,0.002473868871230833,-0.0008914624663219648
34011,0.021299169783294873,3212.0,0.2738455213389565,41297.0,0.14731704729317524,22216.0,0.0008156282326728734,123.0,0.5567226333519005,83956.0,155744,74799,28141,1986,47678,785,0.4802689028148757,0.18068753852475858,0.30613057324840764,0.01275169508937744,0.005040322580645161,0.07645373053702481,0.09315798281419793,-0.1588135259552324,0.008547474693917433,-0.0042246943479722875
34013,0.08189340318883655,13005.0,0.27693886803858847,43979.0,0.18192236971360923,28890.0,0.0019332006750459687,307.0,0.4573121583839198,72623.0,792586,249787,308463,39264,183429,8577,0.31515444380799057,0.38918552687027025,0.23143103713666405,0.04953910364301161,0.010821538609059458,0.14215771457592924,-0.11224665883168178,-0.04950866742305482,0.03235429954582494,-0.00888833793401349
34015,0.07069754053794736,8842.0,0.22594908369846803,28259.0,0.1055745674353152,13204.0,0.0016630952761697636,208.0,0.5961157130520996,74555.0,291286,231306,29052,8585,18346,805,0.794085537924926,0.09973702821282177,0.0629827729448034,0.02947275186586379,0.002763606901807845,-0.19796982487282633,0.12621205548564626,0.0425917944905118,0.04122478867208357,-0.0011005116256380815
34017,0.11609048994456504,6471.0,0.1757951956369638,9799.0,0.22148867081681348,12346.0,0.002386035413788773,133.0,0.4842396081878689,26992.0,668526,193874,73268,98226,298970,5084,0.29000218390907756,0.10959633581939969,0.44720773761977844,0.1469292144209799,0.0076047902400205826,0.19423742427879132,0.06619885981756411,-0.22571906680296497,-0.03083872447641485,-0.0052187548262318095
34019,0.05496886555799345,8042.0,0.08874170374775292,12983.0,0.08182445779591391,11971.0,0.001688300148324345,247.0,0.7727766727500154,113058.0,125708,108947,3006,4516,7923,307,0.8666671969962134,0.023912559264326852,0.063027014987113,0.03592452349890222,0.002442167562923601,-0.09389052424619804,0.06482914448342607,0.018797442808800913,0.01904434205909123,-0.0007538674145992558
