,county_fips,asian_population,asian_percentage,asian_stop_percentage,asian_stops,black_population,black_percentage,black_stop_percentage,black_stops,hispanic_population,hispanic_percentage,hispanic_stop_percentage,hispanic_stops,other_population,other_percentage,other_stop_percentage,other_stops,total_population,white_population,white_percentage,white_stop_percentage,white_stops,total_stops,white_stop_proportion_excess,black_stop_proportion_excess,hispanic_stop_proportion_excess,asian_stop_proportion_excess,other_stop_proportion_excess,location_text
0,53001,140,0.007329842931937174,0.03473516554271578,3075.0,59,0.0030890052356020944,0.03727676302145108,3300.0,11990,0.6277486910994764,0.11038440249867272,9772.0,79,0.0041361256544502605,0.01034712573565127,916.0,19100,6813,0.3567015706806283,0.8072565432015092,71464.0,88527.0,1.2631146301407346,11.067562266266366,-0.8241582912656673,3.738869013327652,1.501646855075181,"Census Tract 9501, Adams County, Washington"
1,53003,194,0.008773119884230995,0.008341580658843491,118.0,56,0.002532446976891421,0.006998444790046656,99.0,890,0.0402478180255958,0.02021772939346812,286.0,239,0.01080812191923303,0.01017955605824968,144.0,22113,20230,0.9148464704020258,0.9542626890993922,13499.0,14146.0,0.043085063967121195,1.7635108864696738,-0.49766893249689825,-0.04918879840718493,-0.05815680704571058,"Census Tract 9601, Asotin County, Washington"
2,53005,4341,0.02314965416837761,0.02102115706972319,3248.0,2589,0.013806600931105648,0.022606804693516967,3493.0,40733,0.21722065497362933,0.2340610053653138,36165.0,1752,0.009343053237271956,0.0048022470892040035,742.0,187519,135362,0.7218575184381316,0.7175087857822421,110863.0,154511.0,-0.00602436428908959,0.6373910426124405,0.07752646908153782,-0.09194509270734341,-0.4860088059814809,"Census Tract 101, Benton County, Washington"
3,53007,620,0.008293093992857239,0.028185456971314214,3380.0,303,0.0040529152900576505,0.009172781854569713,1100.0,20931,0.2799721780072498,0.16029853235490327,19223.0,828,0.011075293267880313,0.0037775183455637093,453.0,74761,51466,0.6884070571554688,0.7985657104736491,95764.0,119920.0,0.16001964560526316,1.2632552614834531,-0.4274483504187605,2.3986660461813254,-0.6589238538252555,"Census Tract 9601, Chelan County, Washington"
4,53009,1127,0.015444914963888775,0.031109571206585192,2963.0,687,0.009414957036549768,0.013124186300449371,1250.0,4476,0.06134111746083954,0.02025324429885347,1929.0,3551,0.048664501363592766,0.032757969005921636,3120.0,72969,61008,0.836081075525223,0.9027550291881904,85982.0,95244.0,0.0797457993186641,0.39397197985078614,-0.6698259644229136,1.0142274191422493,-0.32686109817147413,"Census Tract 2, Clallam County, Washington"
5,53011,18951,0.0420299272776468,0.04935780859286201,12159.0,8084,0.017928865606696046,0.03715130062027084,9152.0,42104,0.093379138731362,0.0646900269541779,15936.0,6429,0.014258371720119853,0.006543694995615887,1612.0,450893,360807,0.8002053702319619,0.8422571688370734,207485.0,246344.0,0.052551257676415775,1.0721500977951237,-0.30723255929483817,0.17434913143693365,-0.5410629541673303,"Census Tract 401.01, Clark County, Washington"
6,53013,47,0.011835809619743138,0.00979566041710554,93.0,15,0.003777386048854193,0.007899726142827048,75.0,300,0.07554772097708386,0.03707604803033495,352.0,62,0.015613195668597332,0.00969033073520118,92.0,3971,3491,0.8791236464366659,0.9355382346745312,8882.0,9494.0,0.06417139212047074,1.0913208342110803,-0.509236710905133,-0.1723709039079553,-0.3793499459760664,"Census Tract 9602, Columbia County, Washington"
7,53015,1263,0.01227954187489062,0.058882538910505836,7748.0,600,0.005833511579520485,0.03309672908560311,4355.0,9354,0.09094444552472436,0.055576665856031125,7313.0,1369,0.013310128920605908,0.008397677529182879,1105.0,102854,87013,0.8459855717813599,0.8440463886186771,111063.0,131584.0,-0.0022922177722245474,4.673551622284371,-0.38889433504851123,3.7951739169447096,-0.36907616903829377,"Census Tract 3, Cowlitz County, Washington"
8,53017,290,0.007231739856861425,0.013344957081545063,597.0,90,0.0022443330590259593,0.007354256080114448,329.0,13049,0.3254033565247749,0.26090844062947066,11672.0,363,0.00905214333807137,0.004805972818311874,215.0,40101,26177,0.6527767387346949,0.7135863733905579,31923.0,44736.0,0.09315533328245262,2.2768113674296613,-0.19819990974922186,0.8453314618173744,-0.46907901931921636,"Census Tract 9501, Douglas County, Washington"
9,53019,61,0.00798533839507789,0.0008987956138774043,5.0,13,0.0017017934284592224,0.002516627718856732,14.0,349,0.045686608194789896,0.004314218946611541,24.0,1200,0.15708862416546668,0.009706992629875968,54.0,7639,5636,0.7377929048304752,0.9825633650907784,5466.0,5563.0,0.3317603878510389,0.4788091649497366,-0.9055692878705858,-0.8874442673047624,-0.9382069027503146,"Census Tract 9400, Ferry County, Washington"
10,53021,1744,0.01986106366017537,0.014844586270272454,735.0,1752,0.019952169456781688,0.019954355421808408,988.0,46999,0.5352351668374901,0.2920243168460808,14459.0,482,0.005489124245530122,0.003231474562236181,160.0,87810,36534,0.416057396651862,0.6699452668996021,33171.0,49513.0,0.6102231862499059,0.00010956026769193272,-0.45439998165377227,-0.25257848601340327,-0.41129505952290657,"Census Tract 201, Franklin County, Washington"
11,53023,19,0.008516360376512775,0.01063366164037305,122.0,0,0.0,0.007060054039919813,81.0,74,0.033168982519049754,0.03190098492111915,366.0,7,0.003137606454504707,0.0088032772596531,101.0,2231,2058,0.9224562976243836,0.9416020221389348,10803.0,11473.0,0.02075515616713486,inf,-0.03822841406734012,0.24861574314064616,1.8057302237551514,"Census Tract 9703, Garfield County, Washington"
